,Fake Fund Managers S&P 500 ETF,S&P 500 Index
2007-12-01,-0.00247329161253285,-0.00693999999999995
2008-01-01,-0.0558131313270986,-0.0599999999999999
2008-02-01,-0.0373971729936439,-0.03249
2008-03-01,-0.00462275917961241,-0.00431999999999999
2008-04-01,0.0491561370746798,0.0487
2008-05-01,0.0130442948001761,0.0129999999999999
2008-06-01,-0.0831868100004836,-0.0842999999999998
2008-07-01,-0.0056406584545261,-0.00841000000000003
2008-08-01,0.00742128316425106,0.0144599999999999
2008-09-01,-0.0773849968052448,-0.0891099999999999
2008-10-01,-0.170987939497873,-0.16795
2008-11-01,-0.0730768865898478,-0.0717499999999998
2008-12-01,0.00740050592446284,0.01064
2009-01-01,-0.0826091378690935,-0.0842864299999996
2009-02-01,-0.105447219809358,-0.10648
2009-03-01,0.0796017133373732,0.0875951899999992
2009-04-01,0.0965311629507299,0.0957099999999993
2009-05-01,0.065478160428958,0.0559299999999991
2009-06-01,-0.00645263756837733,0.00198000000000009
2009-07-01,0.0850216599218738,0.07563732
2009-08-01,0.0327284321164549,0.0361
2009-09-01,0.0329265988443548,0.03732
2009-10-01,-0.0248788328580694,-0.01857707
2009-11-01,0.0703592483247111,0.0599799999999999
2009-12-01,0.015324090015318,0.01932
2010-01-01,-0.0395108323474849,-0.0359699999999999
2010-02-01,0.0362665543890233,0.030977
2010-03-01,0.0623961326065594,0.0603439999999997
2010-04-01,0.00991138725568375,0.015787
2010-05-01,-0.069903141937973,-0.0798499999999999
2010-06-01,-0.0605265347252371,-0.0523480000000002
2010-07-01,0.0745429707447081,0.070063
2010-08-01,-0.0504096864436783,-0.0451440000000001
2010-09-01,0.0904540358200845,0.0892439999999997
2010-10-01,0.0377097228800063,0.038049
2010-11-01,0.00200079477196602,0.000127999999999906
2010-12-01,0.0656485297964027,0.0668309999999999
2011-01-01,0.0239365187678036,0.0237009999999998
2011-02-01,0.0376000891581798,0.034259
2011-03-01,-0.000973921266623989,0.000396999999999981
2011-04-01,0.0315068875362763,0.0296149999999999
2011-05-01,-0.0116493429224127,-0.0113189999999999
2011-06-01,-0.0161134952082679,-0.016669
2011-07-01,-0.017082961962932,-0.0203340000000002
2011-08-01,-0.0629734177445198,-0.0543209999999998
2011-09-01,-0.068224260711478,-0.070298
2011-10-01,0.104909773749659,0.109293
2011-11-01,0.00525540525156543,-0.00220899999999991
2011-12-01,0.00409258648190125,0.010229
2012-01-01,0.04745860585638,0.044815
2012-02-01,0.0322472277591577,0.0432409999999999
2012-03-01,0.0429023928962327,0.0329090000000001
2012-04-01,-0.00628501044286567,-0.00627599999999984
2012-05-01,-0.0568758100649277,-0.0600999999999999
2012-06-01,0.0347173035118904,0.04120222
2012-07-01,0.0140954683225383,0.0138889920999998
2012-08-01,0.0273114921754074,0.0225227988000001
2012-09-01,0.0210342803806205,0.0258417723
2012-10-01,-0.0176126155186909,-0.0184643288999998
2012-11-01,0.00869384860935574,0.00580111680000006
2012-12-01,0.0108231672266363,0.00911462019999987
2013-01-01,0.047926459709889,0.0517951188999999
2013-02-01,0.0120096515077683,0.0135749052
2013-03-01,0.0381859201247892,0.0375031245000002
2013-04-01,0.020379657949771,0.0192667660999999
2013-05-01,0.0214975053135982,0.0233918070999999
2013-06-01,-0.00929656108407695,-0.0134289001000001
2013-07-01,0.0539186422586726,0.0508842104999998
2013-08-01,-0.0346505722520992,-0.0289616091
2013-09-01,0.0304882134087689,0.0313594717999999
2013-10-01,0.0468641222100827,0.0459677568000001
2013-11-01,0.0284092648165941,0.0304739731000001
2013-12-01,0.0283840114286935,0.0253161158999999
2014-01-01,-0.0343152713436256,-0.0345740758999998
2014-02-01,0.0434855332627717,0.0457438535999999
2014-03-01,0.01106683279538,0.00840571670000001
2014-04-01,0.0110745113573878,0.00739203349999995
2014-05-01,0.0191101062671728,0.0234740861
2014-06-01,0.0208284838539501,0.0206575082000002
2014-07-01,-0.0130914649141485,-0.0137909299000001
2014-08-01,0.0379690898273284,0.0400050436999999
2014-09-01,-0.0114678782877904,-0.0140236311000002
2014-10-01,0.0243813358363161,0.0244251394999999
2014-11-01,0.0239325067356155,0.0268947332
2014-12-01,-0.00348882023321018,-0.00251910620000007
2015-01-01,-0.0247308709213069,-0.0300192317000001
2015-02-01,0.0534255602120133,0.0574715085999999
2015-03-01,-0.0184697925447161,-0.0158144808
2015-04-01,0.0153571663224044,0.00959321080000008
2015-05-01,0.00750063833669801,0.0128592604
2015-06-01,-0.0149155007580618,-0.0193580519
2015-07-01,0.0134250735020005,0.0209512263
2015-08-01,-0.0546399769612331,-0.0603338352999998
2015-09-01,-0.0264400595337937,-0.0247434895999999
2015-10-01,0.0863550007286589,0.0843540710999999
2015-11-01,0.00204297610533266,0.00297384980000004
2015-12-01,-0.0172148741839283,-0.0157718577000001
2016-01-01,-0.0483194931799832,-0.0496242364999999
2016-02-01,-0.00209562294318777,-0.00134919310000015
2016-03-01,0.0641819600056515,0.0678381963999999
